inbound_shipment_id,expected_qty,received_qty,missing_qty,in_flight_qty,status,updated_at_utc,mature_on_utc,is_mature
FBA15KTYHQ71,1,1,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L1PWF0V,-4,-4,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L21ZCFP,1,1,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L36T2CC,-154,-154,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L6K9B1T,250,250,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L78M9QR,250,250,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L79JTG7,94,94,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L7SCQ0S,75,75,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L7T1K53,141,141,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L9X1VDD,250,250,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LB9GJMB,120,120,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LBGBK4F,79,79,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LCBT9DP,120,120,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LCY2JPY,239,239,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LDWGRYF,250,250,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LFTMRVQ,120,120,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LGD4F8K,250,250,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LGYBY8L,249,249,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LHNXF3Y,120,120,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LHPNNDZ,81,81,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LJ4VL95,155,155,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LJ69Y1W,150,150,0,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
