Parameter/Date,13 January 2026,12 January 2026,11 January 2026,10 January 2026,9 January 2026,8 January 2026,7 January 2026,6 January 2026,5 January 2026,4 January 2026,3 January 2026,2 January 2026,1 January 2026,31 December 2025,30 December 2025,29 December 2025,28 December 2025,27 December 2025,26 December 2025,25 December 2025,24 December 2025,23 December 2025,22 December 2025,21 December 2025,20 December 2025,19 December 2025,18 December 2025,17 December 2025,16 December 2025,15 December 2025,14 December 2025,Total
Sales,871.43,509.66,468.31,706.8,459.2,429.25,753.91,534.65,731.79,491.93,659.8,713.37,463.41,426.88,626.26,889.9,888.27,868.39,667.1,306.79,376.15,336.4,485.83,643.42,565.16,525.22,725.15,515.58,720.27,832.7,722.26,18915.24
    Organic,871.43,509.66,468.31,706.8,459.2,429.25,753.91,534.65,731.79,491.93,659.8,713.37,463.41,426.88,626.26,889.9,888.27,868.39,667.1,306.79,376.15,336.4,485.83,643.42,565.16,525.22,725.15,515.58,720.27,832.7,722.26,18915.24
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,871.43,509.66,468.31,706.8,459.2,429.25,753.91,534.65,731.79,491.93,659.8,713.37,463.41,426.88,626.26,889.9,888.27,868.39,667.1,306.79,376.15,336.4,485.83,643.42,565.16,525.22,725.15,515.58,720.27,832.7,722.26,18915.24
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,73,43,41,51,39,47,67,63,85,50,69,84,51,49,69,76,72,66,65,30,37,37,51,69,63,74,86,75,88,106,91,1967
    Organic,73,43,41,51,39,47,67,63,85,50,69,84,51,49,69,76,72,66,65,30,37,37,51,69,63,74,86,75,88,106,91,1967
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,73,43,41,51,39,47,67,63,85,50,69,84,51,49,69,76,72,66,65,30,37,37,51,69,63,74,86,75,88,106,91,1967
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,2,2,2,2,2,0,2,2,0,0,2,0,0,1,3,3,0,0,2,0,6,1,3,0,0,1,3,2,1,1,1,44
Promo,0,-0.01,0,0,0,0,0,0,0,0,0,-0.41,0,0,0,0,-0.4,0,0,0,0,0,0,-0.41,0,-0.67,-0.34,-0.34,0,0,0,-2.58
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,-37.09,-6.04,0,-4.58,-7.9,-0.84,-3.89,-6.34,-2.89,-9.26,-6.25,0,0,-5.55,-5.39,-8.31,0,-1.66,-5.55,-4.15,-4.16,-4.16,-1.65,0,-9.69,0,-12.06,-4.16,-6.93,-6.92,-2.59,-168.01
    FBA shipping chargeback,-37.09,-6.04,0,-4.58,-7.9,-0.84,-3.89,-6.34,-2.89,-9.26,-6.25,0,0,-5.55,-5.39,-8.31,0,-1.66,-5.55,-4.15,-4.16,-4.16,-1.65,0,-9.69,0,-12.06,-4.16,-6.93,-6.92,-2.59,-168.01
Giftwrap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-3.48,-29.12,-24.7,-49.28,-16.99,0,-53.05,-69.85,0,0,-10.43,0,0,-5.72,-20.5,-41.45,0,0,-39,0,-21.77,-14.33,-22.64,0,0,-8.86,-57.67,-13.4,-14.45,-6.1,13.96,-508.83
    Refunded referral fee,4.4,4.52,4,7.97,2.91,0,8.36,12.68,0,0,2.1,0,0,0.78,2.99,6.71,0,0,6.27,0,2.27,2.09,3.4,0,0,0.76,9.71,2.25,2.05,0.88,0.56,87.66
    Value of returned items,24.94,0,0,0,0,0,0,4.3,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,20.51,54.33
    FBA shipping chargeback,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,2.07,0,0,7.07
